city,eiu_region,year,value
San Juan,North America,2021,66
Xian,Asia & Australasia,2021,65
Dubai,Middle East & Africa,2021,64
Ho Chi Minh city,Asia & Australasia,2021,64
Detroit,North America,2021,64
Harare,Middle East & Africa,2021,64
Guatemala city,Latin America & the Caribbean,2021,63
Nairobi,Middle East & Africa,2021,63
Bratislava,Eastern Europe,2021,63
Douala,Middle East & Africa,2021,63
Lisbon,Western Europe,2021,62
Toronto,North America,2021,62
Prague,Eastern Europe,2021,62
Dongguan,Asia & Australasia,2021,62
Athens,Western Europe,2021,61
Santiago,Latin America & the Caribbean,2021,61
Port Moresby,Asia & Australasia,2021,61
Manila,Asia & Australasia,2021,60
Santiago de Querétaro,Latin America & the Caribbean,2021,60
Quito,Latin America & the Caribbean,2021,59
Bahrain,Middle East & Africa,2021,59
Montevideo,Latin America & the Caribbean,2021,59
Chongqing,Asia & Australasia,2021,59
Lima,Latin America & the Caribbean,2021,58
Jakarta,Asia & Australasia,2021,58
Kyiv,Eastern Europe,2021,58
San Jose,Latin America & the Caribbean,2021,57
Kuala Lumpur,Asia & Australasia,2021,57
Warsaw,Eastern Europe,2021,57
Abidjan,Middle East & Africa,2021,57
Belgrade,Eastern Europe,2021,57
Doha,Middle East & Africa,2021,56
Jeddah,Middle East & Africa,2021,56
Bandar Seri Begawan,Asia & Australasia,2021,56
Moscow,Eastern Europe,2021,56
Cairo,Middle East & Africa,2021,55
Kuwait city,Middle East & Africa,2021,55
Sofia,Eastern Europe,2021,55
Casablanca,Middle East & Africa,2021,55
Chiang Mai,Asia & Australasia,2021,55
Muscat,Middle East & Africa,2021,54
Riyadh,Middle East & Africa,2021,54
Dakar,Middle East & Africa,2021,54
Budapest,Eastern Europe,2021,54
Johannesburg,Middle East & Africa,2021,54
Baku,Eastern Europe,2021,54
Al Khobar,Middle East & Africa,2021,53
Aguascalientes,Latin America & the Caribbean,2021,53
Pretoria,Middle East & Africa,2021,52
Bogota,Latin America & the Caribbean,2021,50
St Petersburg,Eastern Europe,2021,50
Panama city,Latin America & the Caribbean,2021,49
Istanbul,Eastern Europe,2021,49
Penang,Asia & Australasia,2021,49
Mumbai,Asia & Australasia,2021,48
Kathmandu,Asia & Australasia,2021,47
Rio de Janeiro,Latin America & the Caribbean,2021,47
Sao Paulo,Latin America & the Caribbean,2021,47
Surabaya,Asia & Australasia,2021,47
Bucharest,Eastern Europe,2021,45
Colombo,Asia & Australasia,2021,44
Lagos,Middle East & Africa,2021,44
Monterrey,Latin America & the Caribbean,2021,44
New Delhi,Asia & Australasia,2021,43
Asuncion,Latin America & the Caribbean,2021,43
Bangalore,Asia & Australasia,2021,41
Manaus,Latin America & the Caribbean,2021,41
Chennai,Asia & Australasia,2021,40
Caracas,Latin America & the Caribbean,2021,40
Buenos Aires,Latin America & the Caribbean,2021,39
Lusaka,Middle East & Africa,2021,39
Algiers,Middle East & Africa,2021,38
Ahmedabad,Asia & Australasia,2021,37
Karachi,Asia & Australasia,2021,36
Almaty,Eastern Europe,2021,35
Tunis,Middle East & Africa,2021,33
Tashkent,Eastern Europe,2021,30
Tripoli,Middle East & Africa,2021,23
Damascus,Middle East & Africa,2021,12
Osaka,Asia & Australasia,2020,101
Singapore,Asia & Australasia,2020,102
Hong Kong,Asia & Australasia,2020,103
New York,North America,2020,100
Zurich,Western Europe,2020,103
Paris,Western Europe,2020,103
Tel Aviv,Middle East & Africa,2020,101
Tokyo,Asia & Australasia,2020,95
Los Angeles,North America,2020,96
Geneva,Western Europe,2020,100
Copenhagen,Western Europe,2020,96
Oslo,Western Europe,2020,90
Seoul,Asia & Australasia,2020,90
Minneapolis,North America,2020,82
San Francisco,North America,2020,83
Vienna,Western Europe,2020,88
Amman,Middle East & Africa,2020,80
Sydney,Asia & Australasia,2020,86
Helsinki,Western Europe,2020,86
Frankfurt,Western Europe,2020,86
Houston,North America,2020,80
Dublin,Western Europe,2020,85
Shanghai,Asia & Australasia,2020,82
Melbourne,Asia & Australasia,2020,85
London,Western Europe,2020,84
Bangkok,Asia & Australasia,2020,74
Shenzhen,Asia & Australasia,2020,81
Milan,Western Europe,2020,83
Reykjavik,Western Europe,2020,71
"Washington, DC",North America,2020,76
Munich,Western Europe,2020,81
Nouméa,Asia & Australasia,2020,77
Boston,North America,2020,75
Seattle,North America,2020,76
Chicago,North America,2020,74
Vancouver,North America,2020,74
Pittsburgh,North America,2020,75
Barcelona,Western Europe,2020,78
Hamburg,Western Europe,2020,80
Wellington,Asia & Australasia,2020,77
Auckland,Asia & Australasia,2020,76
Madrid,Western Europe,2020,78
Abu Dhabi,Middle East & Africa,2020,72
Amsterdam,Western Europe,2020,77
Brisbane,Asia & Australasia,2020,76
Brussels,Western Europe,2020,77
Rome,Western Europe,2020,77
Düsseldorf,Western Europe,2020,77
Beijing,Asia & Australasia,2020,75
Dalian,Asia & Australasia,2020,74
Honolulu,North America,2020,70
Manchester,Western Europe,2020,74
Adelaide,Asia & Australasia,2020,74
Berlin,Western Europe,2020,75
Hanoi,Asia & Australasia,2020,69
Mexico city,Latin America & the Caribbean,2020,64
Lyon,Western Europe,2020,73
Lexington,North America,2020,68
Miami,North America,2020,67
Dubai,Middle East & Africa,2020,66
Stockholm,Western Europe,2020,72
Taipei,Asia & Australasia,2020,72
Atlanta,North America,2020,66
Lima,Latin America & the Caribbean,2020,63
Montreal,North America,2020,67
Cleveland,North America,2020,66
Dhaka,Asia & Australasia,2020,66
Nairobi,Middle East & Africa,2020,63
Tianjin,Asia & Australasia,2020,69
Luxembourg,Western Europe,2020,69
Phnom Penh,Asia & Australasia,2020,65
Suzhou,Asia & Australasia,2020,66
Detroit,North America,2020,64
Ho Chi Minh city,Asia & Australasia,2020,64
Santiago,Latin America & the Caribbean,2020,60
Guangzhou,Asia & Australasia,2020,67
Perth,Asia & Australasia,2020,67
Guatemala city,Latin America & the Caribbean,2020,64
Qingdao,Asia & Australasia,2020,65
San José,Latin America & the Caribbean,2020,60
Quito,Latin America & the Caribbean,2020,60
Bahrain,Middle East & Africa,2020,60
Montevideo,Latin America & the Caribbean,2020,56
Jakarta,Asia & Australasia,2020,56
Toronto,North America,2020,59
Kyiv,Eastern Europe,2020,53
Moscow,Eastern Europe,2020,52
Lisbon,Western Europe,2020,61
Athens,Western Europe,2020,61
Manila,Asia & Australasia,2020,60
Kuala Lumpur,Asia & Australasia,2020,57
Prague,Eastern Europe,2020,59
Doha,Middle East & Africa,2020,56
Kuwait city,Middle East & Africa,2020,53
Bandar Seri Begawan,Asia & Australasia,2020,55
Istanbul,Eastern Europe,2020,47
Rio de Janeiro,Latin America & the Caribbean,2020,43
São Paulo,Latin America & the Caribbean,2020,43
Jeddah,Middle East & Africa,2020,56
Warsaw,Eastern Europe,2020,56
Bogotá,Latin America & the Caribbean,2020,50
Al Khobar,Middle East & Africa,2020,53
Abidjan,Middle East & Africa,2020,56
Muscat,Middle East & Africa,2020,54
